Full Name,Student ID,Gender,Student Type,Average Grade,Study Programme,Study Area,Internship Options,Company Preferences,First Preference,Second Preference,Internship Status,Internship Semester,Date of Birth,Offer Date
Mr. Stephen Alexander,20208301,Female,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Business analysis,"Gallagher, Waikato Regional Council, IT Partners, Other",GIG - Internal client based projects,GIG - Internal client based projects,Placed,2024 S2,15/09/1997,2/07/2024
Alexandria Oneill,20268788,Female,International,B grade,Master of Applied IT,Business Analysis or Project Management,"Networking, System support – help desk, Mobile app development","CTEK, Enlighten Design",Design Factory,Classroom project,Placed,2020 S2,4/06/1996,21/07/2024
Mckenzie Morgan,20268564,Male,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"UX/UI design, Software testing, System support – help desk, API development","Fonterra, LIC, Hospital",Classroom project,Classroom project,Available,2024 S2,17/01/1992,
Nicholas Olson,20286993,Male,Domestic,A grade,Master of Applied IT,Database or Data Analytics,"Business analysis, Mobile app development, Other, UX/UI design, Game development",Gallagher,Internship,GIG - Internal client based projects,For Review,2021 S2,25/11/2001,
Ronald Mcclain,20280335,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Software testing, Other","LIC, Datacom",GIG - Internal client based projects,Classroom project,Available,2020 S2,30/08/1990,
Timothy Wagner,20261510,Female,International,A grade,Master of Applied IT,Network Engineering,"Software testing, Mobile app development, Business analysis, Project management",Datacom,Internal client internship/project,Internship,Placed,2023 S2,4/09/2005,5/07/2024
Angela Vasquez,20231574,Male,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Web development, Other, UX/UI design","Fonterra, Blackout Games",Industry project,Internship,Placed,2020 S1,24/01/2000,22/02/2024
Amber Walker,20284320,Male,International,A grade,Bachelor of Applied IT,Network Engineering,"Software testing, Game development, Business analysis",CTEK,Industry project,GIG - Internal client based projects,Placed,2024 S1,8/09/2001,7/02/2024
David Stevens,20275108,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Database, System support – help desk, Security, Data analytics, Game development","LIC, Waikato Regional Council, Other, Datacom",Design Factory,Internal client internship/project,For Review,2020 S2,19/01/2004,
Jonathan Stewart,20265191,Male,International,C grade,Master of Applied IT,Database or Data Analytics,Web development,"IT Partners, Fonterra, CTEK",Internship,Industry project,Available,2020 S2,29/05/1989,
Jason Hawkins,20200022,Male,Domestic,B grade,Master of Applied IT,Network Engineering,"UX/UI design, Security, Business analysis, Data analytics, API development",Gallagher,Internal client internship/project,Classroom project,Available,2021 S2,24/11/1991,
Tracey Walsh,20266628,Male,International,A grade,Master of Applied IT,Database or Data Analytics,Web development,"LIC, Waikato Regional Council, Enlighten Design, Gallagher",Internal client internship/project,Internship,Available,2024 S2,4/11/1995,
Joy Peterson,20207113,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Network Engineering,Networking,"Blackout Games, HCC - Hamilton City Council, Hospital, CTEK",Classroom project,Classroom project,Available,2021 S2,22/05/1996,
Evelyn Saunders,20278636,Male,International,A grade,Master of Applied IT,Business Analysis or Project Management,Database,"Gallagher, Fonterra, Enlighten Design, Datacom",Classroom project,GIG - Internal client based projects,Available,2024 S1,25/11/2004,
Heidi Chavez,20212771,Male,Domestic,A grade,Master of Applied IT,Database or Data Analytics,"Web development, Mobile app development, Game development",HCC - Hamilton City Council,Industry project,Internship,Placed,2020 S1,7/05/1996,14/02/2024
Henry Schultz,20238270,Male,International,C grade,Bachelor of Applied IT,Network Engineering,Networking,"Tuatahi First Fibre, Datacom",Internal client internship/project,Internship,Available,2022 S2,26/07/2006,
Brian Prince,20264542,Male,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,"Project management, Security, Other, Software testing",IT Partners,Design Factory,Industry project,Available,2022 S2,1/08/1993,
Natalie Ortiz,20233330,Female,Domestic,B grade,Master of Applied IT,Database or Data Analytics,"Database, API development","Enlighten Design, Blackout Games, Other",Internship,Internship,Available,2023 S1,21/06/1995,
Timothy Long,20259905,Female,Domestic,A grade,Bachelor of Applied IT,Software Engineering,"Web development, API development, UX/UI design, Database, Other",CTEK,GIG - Internal client based projects,Industry project,For Review,2021 S2,16/04/1995,
Ashley Perry,20283000,Female,Domestic,A grade,Bachelor of Applied IT,Business Analysis or Project Management,API development,"Waikato Regional Council, Fonterra, IT Partners",Internship,Internship,Available,2024 S2,30/12/1992,
Joanna Barrett,20266086,Female,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Web development,"Fonterra, Datacom",GIG - Internal client based projects,Classroom project,Placed,2020 S1,21/05/1993,10/02/2024
April Fitzgerald,20256729,Male,Domestic,A grade,Master of Applied IT,Database or Data Analytics,"Software testing, Other, Business analysis","Other, Gallagher",Internal client internship/project,GIG - Internal client based projects,Placed,2023 S1,27/03/2005,26/02/2024
Priscilla Kent,20290677,Male,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Data analytics, Game development, Business analysis, UX/UI design, Database","Datacom, Fonterra, Tuatahi First Fibre",GIG - Internal client based projects,Industry project,For Review,2020 S1,18/09/1994,
Betty Hughes,20278714,Female,International,A grade,Master of Applied IT,Database or Data Analytics,"Business analysis, Game development, Networking","CTEK, IT Partners, Hospital",Internal client internship/project,GIG - Internal client based projects,Placed,2020 S1,3/10/1999,10/02/2024
Janice Petty,20290769,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Data analytics,Tuatahi First Fibre,Internship,Internal client internship/project,Available,2024 S1,2/04/1997,
Victor Waller,20259355,Female,International,C grade,Bachelor of Applied IT,Database or Data Analytics,"Database, Mobile app development, Security, Data analytics, System support – help desk","Other, IT Partners, Enlighten Design",Classroom project,Industry project,For Review,2021 S1,5/05/1993,
Lance Tanner,20267147,Male,International,A grade,Master of Applied IT,Network Engineering,"Project management, Database","Waikato Regional Council, CTEK, Gallagher, Blackout Games",GIG - Internal client based projects,Industry project,For Review,2022 S1,22/12/1998,
Kimberly Edwards,20296576,Male,Domestic,C grade,Master of Applied IT,Network Engineering,"Web development, Mobile app development, Security, UX/UI design, Database","LIC, Blackout Games, Other, HCC - Hamilton City Council",Industry project,Internal client internship/project,Placed,2022 S2,14/03/1996,14/07/2024
Marcus Roberts,20245258,Male,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Business analysis, Software testing, Mobile app development","Fonterra, Hospital, CTEK",Classroom project,Internal client internship/project,Placed,2020 S1,26/04/1993,12/02/2024
Miss Tina Gordon,20291004,Male,Domestic,A grade,Master of Applied IT,Network Engineering,Business analysis,"Other, CTEK",Design Factory,GIG - Internal client based projects,Placed,2024 S1,10/10/1999,23/02/2024
Paige Hart,20276389,Female,International,B grade,Master of Applied IT,Network Engineering,"Game development, Software testing",LIC,Industry project,Design Factory,Placed,2024 S2,4/01/2003,18/07/2024
Stephanie Ferguson,20255363,Female,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Database, Data analytics, Mobile app development, API development, Web development","HCC - Hamilton City Council, CTEK, Other",Internal client internship/project,Industry project,Available,2022 S2,28/03/1989,
Allison Thomas,20287851,Male,International,B grade,Master of Applied IT,Business Analysis or Project Management,"Security, Mobile app development, Database",CTEK,GIG - Internal client based projects,Classroom project,Placed,2021 S2,24/09/1990,26/07/2024
Paul Martin,20237567,Female,International,C grade,Bachelor of Applied IT,Software Engineering,"Project management, Business analysis, Other, System support – help desk","Other, IT Partners, CTEK",Internal client internship/project,Internship,For Review,2023 S1,30/04/1997,
Antonio Mueller,20226738,Male,Domestic,C grade,Bachelor of Applied IT,Software Engineering,"Networking, System support – help desk, Security, Game development","Other, Blackout Games, Tuatahi First Fibre",GIG - Internal client based projects,Internship,For Review,2020 S1,26/11/1989,
Jesse Jensen,20288542,Male,International,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"Mobile app development, System support – help desk, Game development, Database","Enlighten Design, IT Partners",Internship,Internal client internship/project,Available,2024 S2,8/06/1996,
Kristina Young,20291242,Male,International,A grade,Master of Applied IT,Database or Data Analytics,"Game development, Project management, Data analytics, Other","Other, Tuatahi First Fibre, Datacom",GIG - Internal client based projects,Industry project,Placed,2024 S2,4/08/1998,3/07/2024
Amber James,20254600,Male,International,C grade,Master of Applied IT,Database or Data Analytics,"Game development, Mobile app development, Data analytics, System support – help desk","Other, LIC, HCC - Hamilton City Council",Internal client internship/project,Classroom project,Available,2020 S1,11/06/1999,
Amy Manning,20226619,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"System support – help desk, Networking","Fonterra, Blackout Games",Internal client internship/project,Design Factory,Placed,2022 S2,18/11/2003,12/07/2024
Susan Bush,20284886,Female,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Data analytics, Web development, System support – help desk, API development","Waikato Regional Council, LIC, HCC - Hamilton City Council",GIG - Internal client based projects,Internal client internship/project,For Review,2020 S2,26/04/2001,
Kimberly Morrison,20295015,Male,International,C grade,Bachelor of Applied IT,Software Engineering,Data analytics,CTEK,Industry project,Internal client internship/project,Placed,2023 S1,22/05/1995,15/02/2024
Christopher Fleming,20224507,Male,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Game development, Data analytics, API development, Security","IT Partners, Enlighten Design",GIG - Internal client based projects,Internship,Available,2020 S2,19/09/1994,
Barbara Williams,20236583,Male,International,B grade,Bachelor of Applied IT,Database or Data Analytics,"Data analytics, Project management, UX/UI design",Enlighten Design,GIG - Internal client based projects,Internal client internship/project,For Review,2023 S1,17/10/1997,
Kevin Scott,20243327,Female,International,C grade,Master of Applied IT,Network Engineering,Web development,"Waikato Regional Council, Fonterra",Industry project,GIG - Internal client based projects,For Review,2022 S1,2/09/2004,
Brittney Hernandez,20242287,Male,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,"System support – help desk, Web development, Project management",Blackout Games,GIG - Internal client based projects,GIG - Internal client based projects,For Review,2020 S1,15/07/1990,
Lori Cameron,20239472,Male,Domestic,C grade,Master of Applied IT,Software Engineering,"Networking, Game development","Waikato Regional Council, Fonterra, Hospital",Design Factory,Industry project,Placed,2022 S2,30/06/2005,17/07/2024
Krista Jones,20292757,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Software testing, Project management, Game development, Business analysis","Blackout Games, Tuatahi First Fibre, IT Partners",Internship,Industry project,For Review,2022 S1,15/08/1999,
Tina Meyer,20266209,Female,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,System support – help desk,"CTEK, Hospital, LIC, Other",GIG - Internal client based projects,Classroom project,Placed,2021 S1,24/03/1994,27/02/2024
Joshua Davis,20228992,Female,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"API development, Database, Web development","Gallagher, Blackout Games, CTEK, IT Partners",GIG - Internal client based projects,Internal client internship/project,Available,2023 S1,24/01/1996,
Erin Carter,20298652,Female,Domestic,B grade,Bachelor of Applied IT,Database or Data Analytics,"UX/UI design, Web development, Mobile app development, Project management",IT Partners,Classroom project,Classroom project,For Review,2024 S2,17/12/2004,
Samantha Zavala MD,20287679,Male,International,C grade,Master of Applied IT,Database or Data Analytics,"Business analysis, Database",Enlighten Design,Internship,Classroom project,For Review,2022 S2,30/07/2000,
Tanner Austin,20281412,Male,International,C grade,Bachelor of Applied IT,Database or Data Analytics,"Web development, System support – help desk, Database, Game development, Other","Other, Datacom, CTEK",Internal client internship/project,Classroom project,For Review,2024 S1,6/02/1997,
Melanie Flores,20214860,Male,International,A grade,Bachelor of Applied IT,Network Engineering,"Game development, Software testing, Data analytics, Networking, System support – help desk","IT Partners, Gallagher, HCC - Hamilton City Council",GIG - Internal client based projects,GIG - Internal client based projects,For Review,2020 S1,7/12/2001,
Nathaniel Johnson,20267746,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"Other, Security, Software testing",Blackout Games,GIG - Internal client based projects,GIG - Internal client based projects,Placed,2023 S1,24/07/2001,1/02/2024
Katie Tucker,20238854,Male,International,C grade,Master of Applied IT,Business Analysis or Project Management,"Other, Business analysis","Other, CTEK, Fonterra",Design Factory,GIG - Internal client based projects,For Review,2022 S1,10/05/1995,
Bradley Davis,20270513,Female,International,A grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"API development, Game development, Security, Web development","Blackout Games, IT Partners, Tuatahi First Fibre, Enlighten Design",GIG - Internal client based projects,Design Factory,Placed,2021 S2,20/01/1989,1/07/2024
Christine Soto,20227941,Female,Domestic,B grade,Master of Applied IT,Network Engineering,"Web development, Business analysis, Networking, Game development","Tuatahi First Fibre, CTEK",Classroom project,Design Factory,For Review,2022 S1,28/03/2003,
Christine Poole,20297173,Male,International,A grade,Master of Applied IT,Software Engineering,"Other, Data analytics","LIC, Datacom",Classroom project,Design Factory,Available,2024 S1,12/08/2003,
Teresa Burgess,20220152,Male,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"UX/UI design, Mobile app development, System support – help desk",CTEK,GIG - Internal client based projects,Design Factory,Placed,2023 S1,12/08/1989,9/02/2024
Gary Miller,20223329,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Mobile app development, Data analytics","Blackout Games, Other, LIC, Hospital",Classroom project,GIG - Internal client based projects,For Review,2023 S1,17/05/1997,
Laura Perez,20233901,Male,International,C grade,Master of Applied IT,Network Engineering,"Web development, Data analytics",Gallagher,Classroom project,Classroom project,For Review,2024 S1,3/09/2002,
Mark Hamilton,20202213,Male,Domestic,B grade,Bachelor of Applied IT,Database or Data Analytics,Game development,"Enlighten Design, Hospital, IT Partners",Design Factory,Internal client internship/project,Placed,2022 S2,21/01/2002,21/07/2024
Kimberly May,20281048,Male,International,B grade,Master of Applied IT,Software Engineering,"UX/UI design, Mobile app development, Database, Business analysis, API development","Tuatahi First Fibre, HCC - Hamilton City Council, CTEK, Datacom",Industry project,Design Factory,Placed,2023 S2,15/12/1990,11/07/2024
Laurie Haynes,20209514,Female,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,API development,"HCC - Hamilton City Council, Enlighten Design",Internship,Design Factory,Available,2022 S2,22/12/2000,
Ashley Buchanan,20239498,Male,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Project management, Database, Web development","Hospital, Gallagher, HCC - Hamilton City Council",Internal client internship/project,Internal client internship/project,Available,2024 S2,1/10/1991,
Timothy James,20286602,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Database, Project management, Software testing, Web development, Security","LIC, Enlighten Design",Industry project,Internal client internship/project,For Review,2022 S1,8/11/1989,
Joseph Taylor,20251248,Male,International,C grade,Master of Applied IT,Business Analysis or Project Management,"Business analysis, Software testing, Other","Other, Enlighten Design, Waikato Regional Council",GIG - Internal client based projects,Classroom project,For Review,2021 S1,3/11/1998,
Brianna Byrd,20295594,Male,International,A grade,Master of Applied IT,Software Engineering,"System support – help desk, Data analytics",CTEK,Internship,Internship,For Review,2024 S1,2/07/2001,
Alexandra Baxter,20218530,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Database, Game development","Other, Fonterra, Tuatahi First Fibre, CTEK",Internal client internship/project,Design Factory,Available,2024 S1,30/12/1992,
Kenneth Long,20271765,Male,International,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"Database, Data analytics, Software testing, API development",Blackout Games,Classroom project,GIG - Internal client based projects,Available,2021 S1,13/09/1991,
Paul Berger,20245069,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Business analysis, Database","Fonterra, CTEK",Industry project,GIG - Internal client based projects,For Review,2021 S2,4/01/1996,
Matthew Hunt,20221096,Female,International,A grade,Master of Applied IT,Database or Data Analytics,"Security, Mobile app development, API development",Waikato Regional Council,Internal client internship/project,Internship,Placed,2022 S1,24/01/1995,16/02/2024
Ruben Lee,20223770,Female,International,C grade,Master of Applied IT,Database or Data Analytics,"Project management, Networking, Business analysis",Enlighten Design,Classroom project,Design Factory,Placed,2023 S2,27/08/1990,6/07/2024
Tara Gamble,20260458,Female,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"UX/UI design, System support – help desk, Other, Software testing, Project management",Fonterra,Internship,Internship,Available,2020 S1,18/04/1991,
Austin Garcia,20295104,Male,Domestic,A grade,Master of Applied IT,Network Engineering,"Other, Project management, Mobile app development","Waikato Regional Council, Enlighten Design",Internal client internship/project,Design Factory,For Review,2023 S1,19/05/2005,
Heather Lambert,20230740,Male,International,A grade,Master of Applied IT,Software Engineering,"Security, System support – help desk, Data analytics",IT Partners,Design Factory,Industry project,Placed,2024 S1,17/03/1992,6/02/2024
Benjamin Lee,20263682,Male,Domestic,B grade,Master of Applied IT,Database or Data Analytics,Mobile app development,"Waikato Regional Council, Enlighten Design, LIC, Other",Classroom project,Internship,For Review,2020 S2,20/02/2004,
Matthew Steele,20219974,Male,International,B grade,Master of Applied IT,Network Engineering,"Software testing, Networking","Hospital, CTEK",Classroom project,Internship,Placed,2021 S2,16/03/2001,27/07/2024
Tina Jackson,20241053,Male,International,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"System support – help desk, API development, Other","Fonterra, HCC - Hamilton City Council, Enlighten Design",Internal client internship/project,Industry project,For Review,2022 S1,7/03/1997,
Michelle Davidson,20236264,Female,Domestic,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Mobile app development, Other, Project management, Database, Data analytics","Gallagher, Waikato Regional Council",Classroom project,Industry project,Placed,2024 S2,13/01/2001,23/07/2024
Nicholas Humphrey,20260666,Female,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"Mobile app development, UX/UI design","LIC, Blackout Games, HCC - Hamilton City Council",Internal client internship/project,Industry project,Available,2022 S1,16/12/2003,
Eric Arnold,20223038,Male,International,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Mobile app development, Other, Business analysis, Game development, UX/UI design",CTEK,GIG - Internal client based projects,Internship,Placed,2022 S2,5/08/1991,6/07/2024
Shannon Taylor,20270597,Female,Domestic,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Mobile app development, API development","Tuatahi First Fibre, Blackout Games",Industry project,Internship,Available,2024 S2,28/06/1995,
Stephen Jones,20209882,Female,Domestic,B grade,Bachelor of Applied IT,Database or Data Analytics,"Business analysis, Mobile app development, Data analytics","IT Partners, Gallagher, HCC - Hamilton City Council, Blackout Games",Internship,Classroom project,Available,2022 S1,9/06/1989,
Lynn Hess,20275877,Female,International,A grade,Master of Applied IT,Software Engineering,"Business analysis, UX/UI design, Database","Waikato Regional Council, Datacom",Industry project,GIG - Internal client based projects,Available,2020 S1,3/08/2002,
Christy Johnson,20234159,Female,International,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Data analytics, Networking","HCC - Hamilton City Council, Datacom",Internal client internship/project,Internal client internship/project,For Review,2021 S1,13/11/2004,
Brittany Long,20277280,Male,Domestic,A grade,Master of Applied IT,Software Engineering,"Project management, Database","Gallagher, Tuatahi First Fibre, Datacom",Internal client internship/project,Internship,Available,2024 S1,15/09/1998,
Jonathan Davis,20247692,Female,International,B grade,Master of Applied IT,Business Analysis or Project Management,"UX/UI design, Web development, Security, Game development","CTEK, Datacom",Classroom project,Internal client internship/project,Available,2023 S1,21/11/2005,
David Maynard,20280482,Female,International,B grade,Postgraduate Diploma in Applied IT,Network Engineering,"Business analysis, System support – help desk","CTEK, Other",Internal client internship/project,Design Factory,For Review,2024 S2,13/06/1994,
Brenda Moore,20274233,Female,International,C grade,Bachelor of Applied IT,Software Engineering,"Web development, Networking, Other, API development","LIC, CTEK, Fonterra, Datacom",Classroom project,Industry project,Available,2022 S1,11/10/1993,
Karen Howard,20228681,Female,International,B grade,Postgraduate Diploma in Applied IT,Software Engineering,"Game development, Project management",Tuatahi First Fibre,Internship,Internal client internship/project,Placed,2020 S2,25/05/2005,28/07/2024
Dennis Young,20287632,Female,International,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"Database, Game development, Project management, Data analytics, Networking","Hospital, Other, Fonterra, Enlighten Design",Internship,Internal client internship/project,Available,2022 S1,3/11/1995,
Rebecca Hughes,20259591,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Other, Database, Mobile app development",Other,Industry project,Classroom project,Placed,2023 S1,21/05/1990,3/02/2024
Matthew Garcia,20268337,Male,International,B grade,Master of Applied IT,Database or Data Analytics,"Database, Business analysis","Fonterra, Gallagher, Tuatahi First Fibre, IT Partners",Internship,Internship,Available,2023 S2,9/02/1998,
Deborah Stephens,20222786,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Software testing, Networking, Database","Datacom, IT Partners, CTEK",Classroom project,Internship,Available,2022 S2,14/08/2001,
Holly Valdez,20210202,Male,International,B grade,Master of Applied IT,Network Engineering,"UX/UI design, Game development, Web development, System support – help desk, Security",Datacom,GIG - Internal client based projects,Industry project,Placed,2023 S2,20/05/2006,9/07/2024
William Walker,20253194,Female,Domestic,C grade,Master of Applied IT,Software Engineering,"Business analysis, Data analytics, Networking, Security, Mobile app development","Gallagher, Datacom, Waikato Regional Council",GIG - Internal client based projects,GIG - Internal client based projects,For Review,2023 S1,23/10/2000,
Haley Sparks,20279195,Male,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"Game development, Networking, System support – help desk, API development",Fonterra,Internship,Industry project,Placed,2022 S1,10/01/1989,20/02/2024
Brenda Martin,20210104,Male,International,B grade,Master of Applied IT,Business Analysis or Project Management,"Software testing, Game development","Enlighten Design, Other, Datacom",Internal client internship/project,Design Factory,Placed,2020 S1,24/04/2006,13/02/2024
Christine Lopez,20247477,Male,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Networking, Software testing","Hospital, Datacom, IT Partners, Other",Classroom project,Design Factory,Placed,2022 S2,30/10/1992,8/07/2024
Jennifer Rivera,20214855,Male,International,C grade,Postgraduate Diploma in Applied IT,Software Engineering,Business analysis,"Enlighten Design, Other, Waikato Regional Council",Classroom project,Design Factory,Available,2024 S2,10/03/2005,
Karen Garza,20284837,Female,Domestic,C grade,Bachelor of Applied IT,Database or Data Analytics,"Mobile app development, Other, Data analytics","Tuatahi First Fibre, Enlighten Design",Classroom project,Industry project,Placed,2021 S1,14/10/2002,13/02/2024
Andrew Berry,20221119,Female,Domestic,A grade,Master of Applied IT,Network Engineering,"Database, Mobile app development, Security, Web development","IT Partners, Other, CTEK",Classroom project,GIG - Internal client based projects,Available,2020 S1,22/05/1993,
Amanda Armstrong,20207328,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,Software testing,"Blackout Games, Enlighten Design, Tuatahi First Fibre",Industry project,Classroom project,Placed,2021 S1,19/06/1994,20/02/2024
Christopher Mullen,20278558,Male,International,B grade,Bachelor of Applied IT,Software Engineering,Business analysis,"Datacom, Other, Fonterra",Design Factory,Classroom project,Available,2021 S2,9/06/1989,
Monica Nicholson,20211239,Female,Domestic,B grade,Master of Applied IT,Network Engineering,"Database, Other, Software testing","HCC - Hamilton City Council, Fonterra, Tuatahi First Fibre, Hospital",Internal client internship/project,Classroom project,For Review,2021 S1,4/03/1996,
Willie Dillon,20222356,Female,International,C grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Project management, Security","Waikato Regional Council, Hospital, Fonterra, Enlighten Design",Classroom project,Industry project,Placed,2020 S1,8/04/1996,8/02/2024
Lindsay Norton,20223839,Male,International,C grade,Master of Applied IT,Business Analysis or Project Management,Mobile app development,"Datacom, Waikato Regional Council",GIG - Internal client based projects,Classroom project,Placed,2020 S2,9/03/2006,1/07/2024
Nathaniel Cooper,20259437,Female,International,A grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"System support – help desk, Data analytics","CTEK, Datacom",Internal client internship/project,Internship,For Review,2021 S2,23/02/1991,
James Rodriguez,20226522,Female,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,"Software testing, System support – help desk","Blackout Games, Hospital, LIC, Waikato Regional Council",Internal client internship/project,Industry project,For Review,2023 S2,4/08/2006,
Kathy Barnes,20219603,Male,International,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Data analytics, Game development, Security, Software testing, API development",Enlighten Design,Design Factory,GIG - Internal client based projects,Placed,2020 S1,30/01/1992,16/02/2024
Steven Greene,20269655,Male,Domestic,B grade,Master of Applied IT,Network Engineering,"Game development, UX/UI design, Database","Fonterra, LIC, Enlighten Design, Datacom",Internal client internship/project,Design Factory,For Review,2021 S1,6/12/2005,
Anna Hopkins,20279098,Female,Domestic,A grade,Bachelor of Applied IT,Business Analysis or Project Management,"API development, Security","Hospital, Enlighten Design, LIC",Classroom project,GIG - Internal client based projects,Available,2021 S2,4/11/1988,
Patricia Banks,20268425,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"UX/UI design, API development, Business analysis, Software testing",Other,Industry project,Industry project,Placed,2022 S1,13/02/2003,8/02/2024
Andrew Moreno,20230079,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Business analysis, Project management","Tuatahi First Fibre, Enlighten Design, Other",GIG - Internal client based projects,Internal client internship/project,For Review,2021 S1,17/03/2005,
Jane Chapman,20297175,Female,Domestic,B grade,Master of Applied IT,Software Engineering,Other,"Waikato Regional Council, IT Partners",Industry project,Design Factory,For Review,2022 S1,17/02/1992,
David Cannon,20210986,Female,Domestic,C grade,Bachelor of Applied IT,Database or Data Analytics,"Business analysis, Database","Blackout Games, CTEK, Fonterra",Classroom project,GIG - Internal client based projects,For Review,2024 S1,11/06/1998,
Kimberly Scott,20200716,Male,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Web development, API development, Other","Datacom, IT Partners",Design Factory,GIG - Internal client based projects,For Review,2021 S2,17/01/1989,
Autumn Smith,20285792,Female,Domestic,C grade,Master of Applied IT,Network Engineering,"Web development, UX/UI design, Other, Mobile app development, Networking","Hospital, LIC, CTEK, Blackout Games",Internship,Internal client internship/project,Placed,2024 S1,17/10/1995,18/02/2024
Emily Cox,20220287,Male,International,B grade,Master of Applied IT,Software Engineering,"API development, Software testing","Enlighten Design, Hospital",Industry project,Industry project,Placed,2023 S2,21/04/2003,2/07/2024
Dawn Wyatt,20255517,Female,Domestic,A grade,Master of Applied IT,Software Engineering,System support – help desk,"Gallagher, HCC - Hamilton City Council, Enlighten Design",Industry project,Design Factory,Placed,2023 S2,31/03/2001,4/07/2024
Wendy Sanders,20226698,Male,Domestic,C grade,Bachelor of Applied IT,Software Engineering,"Security, Data analytics, Other, Software testing","LIC, Blackout Games",Design Factory,Industry project,Placed,2023 S2,12/11/2002,19/07/2024
Kristin White,20273281,Male,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,"Business analysis, Software testing","Gallagher, IT Partners, Fonterra, Waikato Regional Council",Internal client internship/project,Classroom project,Placed,2021 S1,6/04/2005,17/02/2024
Eric Cooper,20292470,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Web development, Mobile app development, API development, Project management, Database","Hospital, Tuatahi First Fibre, LIC",Industry project,Classroom project,For Review,2022 S2,8/05/2002,
Sarah Hopkins,20298017,Female,Domestic,A grade,Bachelor of Applied IT,Network Engineering,"Project management, API development, Security, Data analytics","Hospital, Other, Blackout Games",Industry project,Industry project,For Review,2021 S2,15/08/1996,
Michael Martin,20228109,Female,Domestic,B grade,Master of Applied IT,Business Analysis or Project Management,Project management,"Waikato Regional Council, HCC - Hamilton City Council, Other",GIG - Internal client based projects,Industry project,Available,2021 S1,6/02/2006,
George Pierce,20291364,Female,International,A grade,Master of Applied IT,Software Engineering,"Database, Data analytics, Project management","Other, Enlighten Design, IT Partners, HCC - Hamilton City Council",Internal client internship/project,Classroom project,Available,2022 S2,29/07/1990,
